time,cost,duration
0,0.171,3600
3600,0.144,3600
7200,0.138,3600
10800,0.152,3600
14400,0.183,3600
18000,0.271,3600
21600,0.466,3600
25200,0.533,3600
28800,0.28,3600
32400,0.116,3600
36000,0.04,3600
39600,0.02,3600
43200,0.011,3600
46800,0.019,3600
50400,0.026,3600
54000,0.063,3600
57600,0.096,3600
61200,0.236,3600
64800,0.493,3600
68400,0.662,3600
72000,0.536,3600
75600,0.412,3600
79200,0.29,3600
82800,0.221,3600
86400,0.171,3600
90000,0.144,3600
93600,0.138,3600
97200,0.152,3600
100800,0.183,3600
104400,0.271,3600
108000,0.466,3600
111600,0.533,3600
115200,0.28,3600
118800,0.116,3600
122400,0.04,3600
126000,0.02,3600
129600,0.011,3600
133200,0.019,3600
136800,0.026,3600
140400,0.063,3600
144000,0.096,3600
147600,0.236,3600
151200,0.493,3600
154800,0.662,3600
158400,0.536,3600
162000,0.412,3600
165600,0.29,3600
169200,0.221,3600
172800,0.171,3600
176400,0.144,3600
180000,0.138,3600
183600,0.152,3600
187200,0.183,3600
190800,0.271,3600
194400,0.466,3600
198000,0.533,3600
201600,0.28,3600
205200,0.116,3600
208800,0.04,3600
212400,0.02,3600
216000,0.011,3600
219600,0.019,3600
223200,0.026,3600
226800,0.063,3600
230400,0.096,3600
234000,0.236,3600
237600,0.493,3600
241200,0.662,3600
244800,0.536,3600
248400,0.412,3600
252000,0.29,3600
255600,0.221,3600
259200,0.171,3600
262800,0.144,3600
266400,0.138,3600
270000,0.152,3600
273600,0.183,3600
277200,0.271,3600
280800,0.466,3600
284400,0.533,3600
288000,0.28,3600
291600,0.116,3600
295200,0.04,3600
298800,0.02,3600
302400,0.011,3600
306000,0.019,3600
309600,0.026,3600
313200,0.063,3600
316800,0.096,3600
320400,0.236,3600
324000,0.493,3600
327600,0.662,3600
331200,0.536,3600
334800,0.412,3600
338400,0.29,3600
342000,0.221,3600
345600,0.171,3600
349200,0.144,3600
352800,0.138,3600
356400,0.152,3600
360000,0.183,3600
363600,0.271,3600
367200,0.466,3600
370800,0.533,3600
374400,0.28,3600
378000,0.116,3600
381600,0.04,3600
385200,0.02,3600
388800,0.011,3600
392400,0.019,3600
396000,0.026,3600
399600,0.063,3600
403200,0.096,3600
406800,0.236,3600
410400,0.493,3600
414000,0.662,3600
417600,0.536,3600
421200,0.412,3600
424800,0.29,3600
428400,0.221,3600
432000,0.171,3600
435600,0.144,3600
439200,0.138,3600
442800,0.152,3600
446400,0.183,3600
450000,0.271,3600
453600,0.466,3600
457200,0.533,3600
460800,0.28,3600
464400,0.116,3600
468000,0.04,3600
471600,0.02,3600
475200,0.011,3600
478800,0.019,3600
482400,0.026,3600
486000,0.063,3600
489600,0.096,3600
493200,0.236,3600
496800,0.493,3600
500400,0.662,3600
504000,0.536,3600
507600,0.412,3600
511200,0.29,3600
514800,0.221,3600
518400,0.171,3600
522000,0.144,3600
525600,0.138,3600
529200,0.152,3600
532800,0.183,3600
536400,0.271,3600
540000,0.466,3600
543600,0.533,3600
547200,0.28,3600
550800,0.116,3600
554400,0.04,3600
558000,0.02,3600
561600,0.011,3600
565200,0.019,3600
568800,0.026,3600
572400,0.063,3600
576000,0.096,3600
579600,0.236,3600
583200,0.493,3600
586800,0.662,3600
590400,0.536,3600
594000,0.412,3600
597600,0.29,3600
601200,0.221,3600
604800,0.171,3600
608400,0.144,3600
612000,0.138,3600
615600,0.152,3600
619200,0.183,3600
622800,0.271,3600
626400,0.466,3600
630000,0.533,3600
633600,0.28,3600
637200,0.116,3600
640800,0.04,3600
644400,0.02,3600
648000,0.011,3600
651600,0.019,3600
655200,0.026,3600
658800,0.063,3600
662400,0.096,3600
666000,0.236,3600
669600,0.493,3600
673200,0.662,3600
676800,0.536,3600
680400,0.412,3600
684000,0.29,3600
687600,0.221,3600
691200,0.171,3600
694800,0.144,3600
698400,0.138,3600
702000,0.152,3600
705600,0.183,3600
709200,0.271,3600
712800,0.466,3600
716400,0.533,3600
720000,0.28,3600
723600,0.116,3600
727200,0.04,3600
730800,0.02,3600
734400,0.011,3600
738000,0.019,3600
741600,0.026,3600
745200,0.063,3600
748800,0.096,3600
752400,0.236,3600
756000,0.493,3600
759600,0.662,3600
763200,0.536,3600
766800,0.412,3600
770400,0.29,3600
774000,0.221,3600
777600,0.171,3600
781200,0.144,3600
784800,0.138,3600
788400,0.152,3600
792000,0.183,3600
795600,0.271,3600
799200,0.466,3600
802800,0.533,3600
806400,0.28,3600
810000,0.116,3600
813600,0.04,3600
817200,0.02,3600
820800,0.011,3600
824400,0.019,3600
828000,0.026,3600
831600,0.063,3600
835200,0.096,3600
838800,0.236,3600
842400,0.493,3600
846000,0.662,3600
849600,0.536,3600
853200,0.412,3600
856800,0.29,3600
860400,0.221,3600
864000,0.171,3600
867600,0.144,3600
871200,0.138,3600
874800,0.152,3600
878400,0.183,3600
882000,0.271,3600
885600,0.466,3600
889200,0.533,3600
892800,0.28,3600
896400,0.116,3600
900000,0.04,3600
903600,0.02,3600
907200,0.011,3600
910800,0.019,3600
914400,0.026,3600
918000,0.063,3600
921600,0.096,3600
925200,0.236,3600
928800,0.493,3600
932400,0.662,3600
936000,0.536,3600
939600,0.412,3600
943200,0.29,3600
946800,0.221,3600
950400,0.171,3600
954000,0.144,3600
957600,0.138,3600
961200,0.152,3600
964800,0.183,3600
968400,0.271,3600
972000,0.466,3600
975600,0.533,3600
979200,0.28,3600
982800,0.116,3600
986400,0.04,3600
990000,0.02,3600
993600,0.011,3600
997200,0.019,3600
1000800,0.026,3600
1004400,0.063,3600
1008000,0.096,3600
1011600,0.236,3600
1015200,0.493,3600
1018800,0.662,3600
1022400,0.536,3600
1026000,0.412,3600
1029600,0.29,3600
1033200,0.221,3600
1036800,0.171,3600
1040400,0.144,3600
1044000,0.138,3600
1047600,0.152,3600
1051200,0.183,3600
1054800,0.271,3600
1058400,0.466,3600
1062000,0.533,3600
1065600,0.28,3600
1069200,0.116,3600
1072800,0.04,3600
1076400,0.02,3600
1080000,0.011,3600
1083600,0.019,3600
1087200,0.026,3600
1090800,0.063,3600
1094400,0.096,3600
1098000,0.236,3600
1101600,0.493,3600
1105200,0.662,3600
1108800,0.536,3600
1112400,0.412,3600
1116000,0.29,3600
1119600,0.221,3600
1123200,0.171,3600
1126800,0.144,3600
1130400,0.138,3600
1134000,0.152,3600
1137600,0.183,3600
1141200,0.271,3600
1144800,0.466,3600
1148400,0.533,3600
1152000,0.28,3600
1155600,0.116,3600
1159200,0.04,3600
1162800,0.02,3600
1166400,0.011,3600
1170000,0.019,3600
1173600,0.026,3600
1177200,0.063,3600
1180800,0.096,3600
1184400,0.236,3600
1188000,0.493,3600
1191600,0.662,3600
1195200,0.536,3600
1198800,0.412,3600
1202400,0.29,3600
1206000,0.221,3600
1209600,0.171,3600
1213200,0.144,3600
1216800,0.138,3600
1220400,0.152,3600
1224000,0.183,3600
1227600,0.271,3600
1231200,0.466,3600
1234800,0.533,3600
1238400,0.28,3600
1242000,0.116,3600
1245600,0.04,3600
1249200,0.02,3600
1252800,0.011,3600
1256400,0.019,3600
1260000,0.026,3600
1263600,0.063,3600
1267200,0.096,3600
1270800,0.236,3600
1274400,0.493,3600
1278000,0.662,3600
1281600,0.536,3600
1285200,0.412,3600
1288800,0.29,3600
1292400,0.221,3600
1296000,0.171,3600
1299600,0.144,3600
1303200,0.138,3600
1306800,0.152,3600
1310400,0.183,3600
1314000,0.271,3600
1317600,0.466,3600
1321200,0.533,3600
1324800,0.28,3600
1328400,0.116,3600
1332000,0.04,3600
1335600,0.02,3600
1339200,0.011,3600
1342800,0.019,3600
1346400,0.026,3600
1350000,0.063,3600
1353600,0.096,3600
1357200,0.236,3600
1360800,0.493,3600
1364400,0.662,3600
1368000,0.536,3600
1371600,0.412,3600
1375200,0.29,3600
1378800,0.221,3600
1382400,0.171,3600
1386000,0.144,3600
1389600,0.138,3600
1393200,0.152,3600
1396800,0.183,3600
1400400,0.271,3600
1404000,0.466,3600
1407600,0.533,3600
1411200,0.28,3600
1414800,0.116,3600
1418400,0.04,3600
1422000,0.02,3600
1425600,0.011,3600
1429200,0.019,3600
1432800,0.026,3600
1436400,0.063,3600
1440000,0.096,3600
1443600,0.236,3600
1447200,0.493,3600
1450800,0.662,3600
1454400,0.536,3600
1458000,0.412,3600
1461600,0.29,3600
1465200,0.221,3600
1468800,0.171,3600
1472400,0.144,3600
1476000,0.138,3600
1479600,0.152,3600
1483200,0.183,3600
1486800,0.271,3600
1490400,0.466,3600
1494000,0.533,3600
1497600,0.28,3600
1501200,0.116,3600
1504800,0.04,3600
1508400,0.02,3600
1512000,0.011,3600
1515600,0.019,3600
1519200,0.026,3600
1522800,0.063,3600
1526400,0.096,3600
1530000,0.236,3600
1533600,0.493,3600
1537200,0.662,3600
1540800,0.536,3600
1544400,0.412,3600
1548000,0.29,3600
1551600,0.221,3600
1555200,0.171,3600
1558800,0.144,3600
1562400,0.138,3600
1566000,0.152,3600
1569600,0.183,3600
1573200,0.271,3600
1576800,0.466,3600
1580400,0.533,3600
1584000,0.28,3600
1587600,0.116,3600
1591200,0.04,3600
1594800,0.02,3600
1598400,0.011,3600
1602000,0.019,3600
1605600,0.026,3600
1609200,0.063,3600
1612800,0.096,3600
1616400,0.236,3600
1620000,0.493,3600
1623600,0.662,3600
1627200,0.536,3600
1630800,0.412,3600
1634400,0.29,3600
1638000,0.221,3600
1641600,0.171,3600
1645200,0.144,3600
1648800,0.138,3600
1652400,0.152,3600
1656000,0.183,3600
1659600,0.271,3600
1663200,0.466,3600
1666800,0.533,3600
1670400,0.28,3600
1674000,0.116,3600
1677600,0.04,3600
1681200,0.02,3600
1684800,0.011,3600
1688400,0.019,3600
1692000,0.026,3600
1695600,0.063,3600
1699200,0.096,3600
1702800,0.236,3600
1706400,0.493,3600
1710000,0.662,3600
1713600,0.536,3600
1717200,0.412,3600
1720800,0.29,3600
1724400,0.221,3600
1728000,0.171,3600
1731600,0.144,3600
1735200,0.138,3600
1738800,0.152,3600
1742400,0.183,3600
1746000,0.271,3600
1749600,0.466,3600
1753200,0.533,3600
1756800,0.28,3600
1760400,0.116,3600
1764000,0.04,3600
1767600,0.02,3600
1771200,0.011,3600
1774800,0.019,3600
1778400,0.026,3600
1782000,0.063,3600
1785600,0.096,3600
1789200,0.236,3600
1792800,0.493,3600
1796400,0.662,3600
1800000,0.536,3600
1803600,0.412,3600
1807200,0.29,3600
1810800,0.221,3600
1814400,0.171,3600
1818000,0.144,3600
1821600,0.138,3600
1825200,0.152,3600
1828800,0.183,3600
1832400,0.271,3600
1836000,0.466,3600
1839600,0.533,3600
1843200,0.28,3600
1846800,0.116,3600
1850400,0.04,3600
1854000,0.02,3600
1857600,0.011,3600
1861200,0.019,3600
1864800,0.026,3600
1868400,0.063,3600
1872000,0.096,3600
1875600,0.236,3600
1879200,0.493,3600
1882800,0.662,3600
1886400,0.536,3600
1890000,0.412,3600
1893600,0.29,3600
1897200,0.221,3600
1900800,0.171,3600
1904400,0.144,3600
1908000,0.138,3600
1911600,0.152,3600
1915200,0.183,3600
1918800,0.271,3600
1922400,0.466,3600
1926000,0.533,3600
1929600,0.28,3600
1933200,0.116,3600
1936800,0.04,3600
1940400,0.02,3600
1944000,0.011,3600
1947600,0.019,3600
1951200,0.026,3600
1954800,0.063,3600
1958400,0.096,3600
1962000,0.236,3600
1965600,0.493,3600
1969200,0.662,3600
1972800,0.536,3600
1976400,0.412,3600
1980000,0.29,3600
1983600,0.221,3600
1987200,0.171,3600
1990800,0.144,3600
1994400,0.138,3600
1998000,0.152,3600
2001600,0.183,3600
2005200,0.271,3600
2008800,0.466,3600
2012400,0.533,3600
2016000,0.28,3600
2019600,0.116,3600
2023200,0.04,3600
2026800,0.02,3600
2030400,0.011,3600
2034000,0.019,3600
2037600,0.026,3600
2041200,0.063,3600
2044800,0.096,3600
2048400,0.236,3600
2052000,0.493,3600
2055600,0.662,3600
2059200,0.536,3600
2062800,0.412,3600
2066400,0.29,3600
2070000,0.221,3600
2073600,0.171,3600
2077200,0.144,3600
2080800,0.138,3600
2084400,0.152,3600
2088000,0.183,3600
2091600,0.271,3600
2095200,0.466,3600
2098800,0.533,3600
2102400,0.28,3600
2106000,0.116,3600
2109600,0.04,3600
2113200,0.02,3600
2116800,0.011,3600
2120400,0.019,3600
2124000,0.026,3600
2127600,0.063,3600
2131200,0.096,3600
2134800,0.236,3600
2138400,0.493,3600
2142000,0.662,3600
2145600,0.536,3600
2149200,0.412,3600
2152800,0.29,3600
2156400,0.221,3600
2160000,0.171,3600
2163600,0.144,3600
2167200,0.138,3600
2170800,0.152,3600
2174400,0.183,3600
2178000,0.271,3600
2181600,0.466,3600
2185200,0.533,3600
2188800,0.28,3600
2192400,0.116,3600
2196000,0.04,3600
2199600,0.02,3600
2203200,0.011,3600
2206800,0.019,3600
2210400,0.026,3600
2214000,0.063,3600
2217600,0.096,3600
2221200,0.236,3600
2224800,0.493,3600
2228400,0.662,3600
2232000,0.536,3600
2235600,0.412,3600
2239200,0.29,3600
2242800,0.221,3600
2246400,0.171,3600
2250000,0.144,3600
2253600,0.138,3600
2257200,0.152,3600
2260800,0.183,3600
2264400,0.271,3600
2268000,0.466,3600
2271600,0.533,3600
2275200,0.28,3600
2278800,0.116,3600
2282400,0.04,3600
2286000,0.02,3600
2289600,0.011,3600
2293200,0.019,3600
2296800,0.026,3600
2300400,0.063,3600
2304000,0.096,3600
2307600,0.236,3600
2311200,0.493,3600
2314800,0.662,3600
2318400,0.536,3600
2322000,0.412,3600
2325600,0.29,3600
2329200,0.221,3600
2332800,0.171,3600
2336400,0.144,3600
2340000,0.138,3600
2343600,0.152,3600
2347200,0.183,3600
2350800,0.271,3600
2354400,0.466,3600
2358000,0.533,3600
2361600,0.28,3600
2365200,0.116,3600
2368800,0.04,3600
2372400,0.02,3600
2376000,0.011,3600
2379600,0.019,3600
2383200,0.026,3600
2386800,0.063,3600
2390400,0.096,3600
2394000,0.236,3600
2397600,0.493,3600
2401200,0.662,3600
2404800,0.536,3600
2408400,0.412,3600
2412000,0.29,3600
2415600,0.221,3600
2419200,0.171,3600
2422800,0.144,3600
2426400,0.138,3600
2430000,0.152,3600
2433600,0.183,3600
2437200,0.271,3600
2440800,0.466,3600
2444400,0.533,3600
2448000,0.28,3600
2451600,0.116,3600
2455200,0.04,3600
2458800,0.02,3600
2462400,0.011,3600
2466000,0.019,3600
2469600,0.026,3600
2473200,0.063,3600
2476800,0.096,3600
2480400,0.236,3600
2484000,0.493,3600
2487600,0.662,3600
2491200,0.536,3600
2494800,0.412,3600
2498400,0.29,3600
2502000,0.221,3600
2505600,0.171,3600
2509200,0.144,3600
2512800,0.138,3600
2516400,0.152,3600
2520000,0.183,3600
2523600,0.271,3600
2527200,0.466,3600
2530800,0.533,3600
2534400,0.28,3600
2538000,0.116,3600
2541600,0.04,3600
2545200,0.02,3600
2548800,0.011,3600
2552400,0.019,3600
2556000,0.026,3600
2559600,0.063,3600
2563200,0.096,3600
2566800,0.236,3600
2570400,0.493,3600
2574000,0.662,3600
2577600,0.536,3600
2581200,0.412,3600
2584800,0.29,3600
2588400,0.221,3600
2592000,0.171,3600
2595600,0.144,3600
2599200,0.138,3600
2602800,0.152,3600
2606400,0.183,3600
2610000,0.271,3600
2613600,0.466,3600
2617200,0.533,3600
2620800,0.28,3600
2624400,0.116,3600
2628000,0.04,3600
2631600,0.02,3600
2635200,0.011,3600
2638800,0.019,3600
2642400,0.026,3600
2646000,0.063,3600
2649600,0.096,3600
2653200,0.236,3600
2656800,0.493,3600
2660400,0.662,3600
2664000,0.536,3600
2667600,0.412,3600
2671200,0.29,3600
2674800,0.221,3600
2678400,0.171,3600
2682000,0.144,3600
2685600,0.138,3600
2689200,0.152,3600
2692800,0.183,3600
2696400,0.271,3600
2700000,0.466,3600
2703600,0.533,3600
2707200,0.28,3600
2710800,0.116,3600
2714400,0.04,3600
2718000,0.02,3600
2721600,0.011,3600
2725200,0.019,3600
2728800,0.026,3600
2732400,0.063,3600
2736000,0.096,3600
2739600,0.236,3600
2743200,0.493,3600
2746800,0.662,3600
2750400,0.536,3600
2754000,0.412,3600
2757600,0.29,3600
2761200,0.221,3600
2764800,0.171,3600
2768400,0.144,3600
2772000,0.138,3600
2775600,0.152,3600
2779200,0.183,3600
2782800,0.271,3600
2786400,0.466,3600
2790000,0.533,3600
2793600,0.28,3600
2797200,0.116,3600
2800800,0.04,3600
2804400,0.02,3600
2808000,0.011,3600
2811600,0.019,3600
2815200,0.026,3600
2818800,0.063,3600
2822400,0.096,3600
